,delfi,ft
68,0.19316239701396581,0.19401555322857786
69,0.18432782454194324,0.19164508992938994
70,0.18916703185954625,0.1926674607353328
71,0.18280123235243176,0.1894385072141043
72,0.18573756005176956,0.18796216321199416
73,0.19771498291467765,0.19740542913084203
74,0.18963852257407426,0.19014862457619033
75,0.1851949835655998,0.1899865773134931
76,0.1967838411350743,0.1975554499648274
77,0.18638135331969352,0.19068032473350188
78,0.19335261337770457,0.1947404365887937
79,0.1958536770322668,0.20081674288159676
80,0.18379499755100936,0.18838109156075705
81,0.18857296708141075,0.18835855710277966
82,0.176218656187016,0.17618512876484524
83,0.1827667359783312,0.1854857770539913
84,0.17486404400818725,0.17514274046578518
85,0.19904278017041357,0.20064970023416384
86,0.19033120636940767,0.1902801359912156
87,0.18259653409156634,0.1839522879882269
88,0.19323273873658176,0.1933253437549143
89,0.19223359236621898,0.19391076044117717
90,0.18644392295214252,0.18682683210082607
91,0.18695854919128532,0.18649881676222724
92,0.19946949564270444,0.20091971969810415
93,0.18777500244339596,0.18984448831976306
94,0.18627844115130357,0.1879678140228444
95,0.19884520929255523,0.19959600549376946
96,0.19798606457745355,0.1988485488326889
97,0.19699894123133743,0.19657269454682016
98,0.20873416211179666,0.20825490554243256
99,0.1880462928934655,0.18657356984444093
100,0.19354002136040296,0.19257346267569736
101,0.18187084303782633,0.1815128599631699
102,0.1855815361613893,0.18525207827754436
103,0.19104614441633289,0.19132704380777188
104,0.18797116001536177,0.19393469274273917
105,0.18346130580228617,0.19195387169886338
106,0.17922304614456272,0.18636509131776807
107,0.20609913512191713,0.20617712089616344
108,0.18684251653139053,0.18850417428325894
109,0.2088362709670517,0.2083251669297106
110,0.18729642101104524,0.18837561679426099
111,0.19292709991861418,0.19744134855345755
112,0.19723776057596476,0.1979547485239455
113,0.18489663195974249,0.19304194370142455
114,0.195155625960758,0.19793299066940376
115,0.18980680735963637,0.19082259536679672
116,0.20391113884811862,0.20582294228675976
117,0.18268168712957156,0.1876674671373171
118,0.1923888815636979,0.192288080251652
119,0.19080559826059756,0.19050795959986522
120,0.19752562703717058,0.19755376140653674
121,0.1900720838420583,0.18956189564723766
122,0.20109404858761726,0.20182201330936717
123,0.18845031249297103,0.1905959696365669
124,0.19121106552326103,0.19345889841934433
125,0.18601475415190924,0.1914433711063405
126,0.18993024838108236,0.19170095334632417
127,0.19209148150394412,0.19034163323720754
128,0.17585793046692483,0.17480327901547518
129,0.18856199549564076,0.18887588685068527
130,0.18760363818818385,0.18927565657744955
131,0.18502957951664317,0.18561007079137684
132,0.19211089199983827,0.19717391971326045
133,0.18930685408621228,0.1976479852958932
134,0.19618506733388993,0.19668522142653688
135,0.1853145868850353,0.1884173261881636
136,0.18124495421683046,0.18070592561682935
137,0.1854406180711059,0.18643889145421955
138,0.18019397204261847,0.18516717998899485
139,0.18452676987097924,0.1886611679193393
140,0.18556568863455913,0.1887384870335315
141,0.18401453665028844,0.1906390028433781
142,0.18971844392785348,0.19299520504677303
143,0.19022985867742495,0.19057968135515732
144,0.185304230169959,0.18666834611992406
145,0.1871662261951266,0.18890624101915032
146,0.19293406468728166,0.1982436459076153
147,0.18399202892344418,0.19322831211221284
148,0.1945827870520853,0.19849063243533765
149,0.19141555488242318,0.19414075337252576
150,0.18170118491681728,0.18821341569184394
151,0.18308330800117265,0.18668494053313214
152,0.19566163237980183,0.19787010676090522
153,0.19279907293720844,0.19697865181324323
154,0.18267679566555658,0.18601412318532606
155,0.18424462824716392,0.1912251253247173
156,0.20034210947902936,0.201760339834281
157,0.19572437651384406,0.19707017118908368
158,0.19240902989217465,0.19322849760209462
159,0.18711917525591268,0.1899019713656654
160,0.18342995868844073,0.1898308523100645
161,0.18238043814107321,0.19071687260743767
162,0.1823123733572771,0.185339328743407
163,0.17556313149554234,0.174747742160032
164,0.17407437083541505,0.17300083421841064
165,0.1862417566371298,0.18768850056596373
166,0.18378135577704663,0.1869089552378269
167,0.18929822643768565,0.19655894656850473
168,0.18707880374469496,0.19557504844955992
169,0.18700677167680885,0.18834814459849797
170,0.19704531590736138,0.1980264394388096
171,0.19801706358579094,0.20010284713160456
172,0.19554035074995293,0.1947187488310172
173,0.19039167146882996,0.19040299218437984
174,0.18226319446979428,0.18225504478787408
175,0.17999321587004039,0.18426284667439874
176,0.18533655898611387,0.18452369921529904
177,0.18397736372879517,0.18378178284592844
178,0.19431377736897762,0.19443779788448826
179,0.18718818426639589,0.18761059242019218
180,0.1896530877120035,0.1893857511548761
181,0.19625879378655392,0.1964193705320574
182,0.18513458477418418,0.1875135619005188
183,0.18911155441730898,0.19173113361217467
184,0.18974627414399425,0.1927889637280626
185,0.1852234744477412,0.18598517202222759
186,0.18693576467023945,0.19136921182520977
187,0.188611961531162,0.1959928782339645
188,0.19038547937141329,0.1941599707452626
189,0.1896268834411716,0.19370885850706832
